Hotel_name,Distance,Price,Review,Ratings
Trident Jaipur,5.2 km from centre,"₹ 43,500",Fabulous,9.2
"ITC Rajputana, a Luxury Collection Hotel, Jaipur",2.5 km from centre,"₹ 62,500",Very good,6.7
Hyatt Regency Jaipur Mansarovar,8.8 km from centre,"₹ 69,000",Superb,8
Brij Bageecha Jaipur - Private Villas with Plunge Pools,21.3 km from centre,"₹ 78,540",Superb,7.8
"Holiday Inn Jaipur City Centre, an IHG Hotel",2.9 km from centre,"₹ 30,597",Very good,7.8
Hyatt Place Jaipur Malviya Nagar,6.7 km from centre,"₹ 33,498",Very good,8.6
Hilton Jaipur,3.7 km from centre,"₹ 36,683",Very good,8.1
Shakun Hotels And Resorts,1.6 km from centre,"₹ 24,095",Good,9.5
Doubletree By Hilton Jaipur Amer,16.9 km from centre,"₹ 30,107",Very good,9
Radisson Jaipur City Center,2.2 km from centre,"₹ 26,460",Good ,8.2
Jaipur Marriott Hotel,8.5 km from centre,"₹ 30,000",Very good,8.1
Golden Tulip Jaipur,1.1 km from centre,"₹ 26,998",Good ,9.2
"InterContinental Jaipur Tonk Road, an IHG Hotel",15.3 km from centre,"₹ 43,161",Very good,8.4
Tree of Life Resort & Spa Jaipur,20 km from centre,"₹ 62,094",Very good,8.4
The Lalit Jaipur,8.5 km from centre,"₹ 26,010",Nice Stay,7.5
"Ramgarh Lodge, Jaipur – IHCL SeleQtions",28.3 km from centre,"₹ 53,000",Fabulous,8.8
Radisson Blu Jaipur,8.6 km from centre,"₹ 38,998",Highly Satisfy,9.5
"Hotel Royal Orchid Jaipur, 3 Kms to Airport",8.3 km from centre,"₹ 24,043",Good,9.5
Novotel Jaipur Convention Centre,15.1 km from centre,"₹ 20,400",Superb,9.9
"Brij Nest, Jaipur - An All Suite Boutique Hotel",8 km from centre,"₹ 40,250",Very good,7.7
Jai Mahal Palace,3 km from centre,"₹ 142,600",Superb,8
The Glory Hotel,7.2 km from centre,"₹ 7,422",Exceptional,8
Rambagh Palace,2.2 km from centre,"₹ 332,100",Good,8.3
Buena Vista Luxury Garden Spa Resort,11.6 km from centre,"₹ 75,500",Superb ,8.7
Rose Amer,3.3 km from centre,"₹ 100,800",Worth to Stay,7.4
HOUSE OF TOURISTERS,2 km from centre,"₹ 5,997",Very good,8.2
Hotel Grand Lotus Inn,13.5 km from centre,"₹ 5,440",Good,7.1
Ever green guest house,1.3 km from centre,"₹ 3,465",Very good,8
Hotel Sahibs Corporate Inn - Family & Corporate Hotel Chain,2.8 km from centre,"₹ 8,997",Review score,6.9
Holiday Inn Express & Suites Jaipur Gopalpura,6.3 km from centre,"₹ 16,887",Very good,8
Trident Jaipur,5.2 km from centre,"₹ 43,500",Fabulous,8.6
Rani Mahal Hotel,3.7 km from centre,"₹ 5,150",Review score,6.7
Shree Nikunj - A Boutique Homestay,7.5 km from centre,"₹ 17,280",Exceptional,10
Jaipur Inn,2.3 km from centre,"₹ 9,000",Very good,8.3
"Moustache Hostel, Jaipur",1.9 km from centre,"₹ 18,118",Very good,8.5
Noble House - A Heritage Home,8.4 km from centre,"₹ 11,628",Very good,8.5
"ITC Rajputana, a Luxury Collection Hotel, Jaipur",2.5 km from centre,"₹ 62,500",Very good,8.5
FabHotel Jaipur Villa,7 km from centre,"₹ 7,622",Very good,8.3
Ratnawali – A Vegetarian Heritage Hotel,0.5 km from centre,"₹ 14,700",Very good,8
Hyatt Regency Jaipur Mansarovar,8.8 km from centre,"₹ 69,000",Superb,9
FabHotel The Castle Homestay,7.3 km from centre,"₹ 7,622",Good,7.8
Marigold Inn- Homestay,4.1 km from centre,"₹ 12,500",Superb,9.4
AnandMai - Sustainable Living Spaces,2.9 km from centre,"₹ 9,300",Superb,9
Hotel Pulse Inn Jaipur,2.9 km from centre,"₹ 10,500",Good,7.9
Brij Bageecha Jaipur - Private Villas with Plunge Pools,21.3 km from centre,"₹ 74,460",Superb,9
"Holiday Inn Jaipur City Centre, an IHG Hotel",2.9 km from centre,"₹ 30,597",Very good,8.1
Treebo Trend The Anchorage Malviya Nagar,7.9 km from centre,"₹ 7,250",Review score,6.9
Hilton Jaipur,3.7 km from centre,"₹ 34,055",Very good,8
Pandya Niwas,1.2 km from centre,"₹ 8,100",Very good,8.1
Doubletree By Hilton Jaipur Amer,16.9 km from centre,"₹ 29,500",Very good,8.4
